Date,Amount,Description,Category
2024-01-15,-1500.00,Office Rent,Operating Expenses
2024-01-16,25000.00,Client Payment - ABC Corp,Revenue
2024-01-17,-250.00,Software Subscription,Technology
2024-01-18,-75.50,Team Lunch,Meals & Entertainment
2024-01-19,15000.00,Invoice Payment - XYZ Ltd,Revenue
2024-01-20,-2500.00,Marketing Campaign,Marketing
2024-01-21,-800.00,Utilities Bill,Operating Expenses
2024-01-22,8500.00,Consulting Revenue,Revenue
2024-01-23,-450.00,Office Supplies,Operating Expenses
2024-01-24,-1200.00,Insurance Premium,Insurance